domain_id,user_id,item_id,label,text
book,book_u26,book_i50,0,
book,book_u22,book_i6,0,
movie,movie_u24,movie_i40,1,
movie,movie_u17,movie_i52,1,
movie,movie_u21,movie_i88,1,
book,book_u6,book_i44,1,
movie,movie_u28,movie_i15,0,
book,book_u24,book_i50,0,
movie,movie_u19,movie_i53,1,
book,book_u24,book_i4,1,
book,book_u8,book_i54,1,
movie,movie_u4,movie_i48,0,
book,book_u18,book_i47,0,
movie,movie_u11,movie_i8,1,
movie,movie_u8,movie_i15,1,
book,book_u13,book_i11,1,
movie,movie_u12,movie_i13,1,
book,book_u2,book_i71,0,
movie,movie_u22,movie_i41,0,
movie,movie_u2,movie_i19,0,
book,book_u27,book_i4,0,
book,book_u10,book_i10,1,
book,book_u0,book_i32,0,
book,book_u10,book_i86,1,
movie,movie_u20,movie_i60,1,
movie,movie_u23,movie_i70,1,
book,book_u8,book_i30,0,
movie,movie_u28,movie_i40,1,
movie,movie_u17,movie_i38,1,
movie,movie_u23,movie_i36,1,
book,book_u28,book_i80,0,
movie,movie_u13,movie_i6,0,
book,book_u18,book_i76,1,
movie,movie_u21,movie_i15,1,
movie,movie_u25,movie_i6,0,
book,book_u19,book_i79,0,
book,book_u29,book_i72,1,
book,book_u11,book_i41,1,
movie,movie_u11,movie_i48,1,
book,book_u4,book_i71,1,
movie,movie_u18,movie_i16,0,
movie,movie_u5,movie_i54,0,
movie,movie_u24,movie_i65,0,
movie,movie_u1,movie_i39,1,
book,book_u0,book_i65,1,
movie,movie_u13,movie_i82,1,
movie,movie_u28,movie_i61,0,
book,book_u21,book_i77,0,
book,book_u25,book_i66,1,
movie,movie_u21,movie_i17,1,
movie,movie_u24,movie_i54,0,
movie,movie_u8,movie_i4,1,
book,book_u28,book_i34,1,
movie,movie_u29,movie_i24,0,
book,book_u22,book_i28,0,
book,book_u13,book_i77,0,
movie,movie_u23,movie_i57,0,
movie,movie_u6,movie_i19,1,
book,book_u10,book_i17,1,
book,book_u0,book_i58,1,
movie,movie_u29,movie_i64,0,
book,book_u5,book_i8,1,
movie,movie_u4,movie_i53,1,
movie,movie_u12,movie_i78,1,
book,book_u28,book_i9,0,
movie,movie_u12,movie_i60,0,
movie,movie_u5,movie_i25,1,
movie,movie_u20,movie_i74,0,
book,book_u1,book_i40,0,
movie,movie_u10,movie_i24,0,
movie,movie_u0,movie_i47,1,
book,book_u20,book_i27,1,
movie,movie_u17,movie_i38,1,
book,book_u0,book_i77,0,
book,book_u3,book_i56,1,
movie,movie_u7,movie_i9,1,
movie,movie_u17,movie_i10,1,
book,book_u5,book_i27,1,
book,book_u2,book_i39,0,
book,book_u17,book_i76,0,
movie,movie_u15,movie_i71,0,
book,book_u1,book_i13,1,
book,book_u7,book_i57,1,
movie,movie_u18,movie_i9,1,
book,book_u26,book_i11,1,
movie,movie_u18,movie_i45,1,
movie,movie_u28,movie_i21,1,
movie,movie_u6,movie_i4,0,
book,book_u6,book_i51,1,
movie,movie_u5,movie_i63,0,
book,book_u19,book_i62,0,
book,book_u13,book_i23,0,
movie,movie_u16,movie_i57,1,
movie,movie_u16,movie_i29,1,
movie,movie_u10,movie_i78,1,
movie,movie_u2,movie_i82,1,
book,book_u19,book_i24,0,
book,book_u25,book_i63,0,
movie,movie_u28,movie_i89,0,
book,book_u23,book_i26,0,
movie,movie_u24,movie_i67,1,
movie,movie_u23,movie_i19,1,
book,book_u20,book_i10,1,
movie,movie_u26,movie_i40,1,
movie,movie_u1,movie_i22,1,
book,book_u3,book_i17,1,
book,book_u9,book_i84,1,
movie,movie_u21,movie_i48,1,
book,book_u21,book_i32,0,
movie,movie_u8,movie_i79,0,
book,book_u16,book_i49,1,
movie,movie_u13,movie_i53,1,
movie,movie_u16,movie_i85,0,
movie,movie_u26,movie_i30,0,
movie,movie_u14,movie_i66,1,
movie,movie_u22,movie_i28,0,
movie,movie_u16,movie_i64,1,
book,book_u5,book_i66,1,
movie,movie_u28,movie_i20,1,
movie,movie_u18,movie_i88,1,
book,book_u14,book_i51,0,
book,book_u1,book_i89,0,
movie,movie_u16,movie_i39,1,
book,book_u11,book_i58,1,
movie,movie_u16,movie_i84,1,
movie,movie_u22,movie_i13,0,
movie,movie_u14,movie_i8,0,
movie,movie_u22,movie_i24,0,
book,book_u1,book_i59,0,
movie,movie_u7,movie_i2,1,
book,book_u20,book_i36,1,
movie,movie_u20,movie_i21,1,
book,book_u18,book_i69,0,
movie,movie_u11,movie_i83,0,
book,book_u25,book_i29,0,
movie,movie_u25,movie_i52,1,
book,book_u22,book_i89,0,
book,book_u28,book_i11,1,
book,book_u28,book_i67,0,
movie,movie_u13,movie_i73,1,
book,book_u3,book_i37,0,
book,book_u21,book_i26,0,
book,book_u14,book_i3,0,
book,book_u11,book_i47,0,
movie,movie_u23,movie_i72,1,
movie,movie_u14,movie_i27,0,
book,book_u5,book_i31,0,
book,book_u25,book_i62,1,
movie,movie_u14,movie_i5,0,
book,book_u10,book_i26,0,
book,book_u26,book_i65,0,
book,book_u26,book_i22,1,
book,book_u7,book_i52,1,
book,book_u14,book_i3,1,
book,book_u2,book_i47,0,
book,book_u24,book_i45,1,
book,book_u7,book_i66,0,
movie,movie_u16,movie_i39,1,
movie,movie_u24,movie_i19,1,
movie,movie_u21,movie_i45,0,
movie,movie_u3,movie_i16,1,
book,book_u9,book_i37,1,
book,book_u6,book_i85,0,
movie,movie_u29,movie_i25,1,
book,book_u17,book_i44,0,
book,book_u26,book_i83,0,
book,book_u20,book_i13,1,
book,book_u23,book_i18,1,
movie,movie_u12,movie_i44,0,
movie,movie_u4,movie_i27,1,
movie,movie_u13,movie_i18,0,
movie,movie_u17,movie_i8,1,
movie,movie_u13,movie_i21,1,
movie,movie_u9,movie_i0,0,
book,book_u27,book_i57,0,
book,book_u23,book_i79,0,
book,book_u11,book_i82,1,
movie,movie_u2,movie_i41,0,
movie,movie_u0,movie_i58,0,
book,book_u25,book_i29,0,
book,book_u7,book_i70,0,
movie,movie_u9,movie_i38,0,
book,book_u15,book_i26,1,
book,book_u29,book_i61,0,
movie,movie_u24,movie_i71,0,
movie,movie_u19,movie_i54,1,
movie,movie_u15,movie_i67,0,
book,book_u5,book_i17,1,
book,book_u12,book_i10,0,
book,book_u17,book_i0,1,
movie,movie_u27,movie_i6,1,
movie,movie_u20,movie_i8,1,
book,book_u19,book_i35,1,
book,book_u27,book_i75,1,
book,book_u6,book_i7,0,
book,book_u15,book_i76,1,
book,book_u23,book_i87,1,
book,book_u20,book_i15,0,
movie,movie_u24,movie_i28,1,
book,book_u25,book_i63,1,
book,book_u0,book_i71,0,
movie,movie_u26,movie_i63,0,
book,book_u27,book_i77,1,
movie,movie_u21,movie_i2,1,
book,book_u7,book_i73,1,
book,book_u6,book_i84,1,
movie,movie_u29,movie_i0,0,
book,book_u23,book_i57,1,
movie,movie_u17,movie_i70,1,
book,book_u11,book_i36,0,
movie,movie_u28,movie_i40,1,
movie,movie_u1,movie_i84,1,
movie,movie_u29,movie_i36,1,
book,book_u15,book_i82,1,
movie,movie_u3,movie_i11,0,
movie,movie_u13,movie_i62,1,
book,book_u3,book_i37,0,
book,book_u25,book_i38,0,
book,book_u9,book_i66,0,
book,book_u14,book_i15,1,
movie,movie_u12,movie_i79,1,
book,book_u23,book_i66,1,
movie,movie_u29,movie_i69,0,
movie,movie_u28,movie_i1,1,
movie,movie_u10,movie_i17,0,
movie,movie_u19,movie_i42,1,
book,book_u29,book_i84,1,
movie,movie_u23,movie_i38,0,
movie,movie_u22,movie_i88,0,
book,book_u16,book_i62,1,
book,book_u0,book_i82,1,
movie,movie_u12,movie_i61,0,
book,book_u21,book_i43,0,
movie,movie_u20,movie_i37,1,
book,book_u28,book_i7,1,
book,book_u6,book_i25,0,
movie,movie_u29,movie_i83,1,
book,book_u6,book_i8,1,
book,book_u4,book_i37,0,
movie,movie_u6,movie_i77,1,
movie,movie_u25,movie_i86,0,
book,book_u14,book_i30,1,
book,book_u29,book_i79,0,
movie,movie_u0,movie_i56,0,
movie,movie_u7,movie_i26,0,
movie,movie_u17,movie_i67,1,
movie,movie_u25,movie_i10,1,
movie,movie_u22,movie_i77,0,
book,book_u21,book_i44,1,
